JP;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 5, "-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.072861798107624054)" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.059571817517280579)" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.093063503503799438)" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.1096329391002655)" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.11246887594461441)" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.20077933371067047)" 
1, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.2415892481803894)" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.036430899053812027)" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.029785908758640289)" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.046531751751899719)" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.054816469550132751)" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.056234437972307205)" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.10038966685533524)" 
1, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 5, "-(1.32909)+((0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16)))))))-0.1207946240901947)" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.072861798107624054" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.059571817517280579" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.093063503503799438" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.1096329391002655" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.11246887594461441" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.20077933371067047" 
1, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.2415892481803894" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.036430899053812027" 
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.029785908758640289" 
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 5, "(-(1.32909)+(0.000563059*(log(x+9879.16)*(log(x+9879.16)*(3-(-(4.83966*log(x+9879.16))))))))+0.046531751751899719" 
